protocol,chain,date,tvl_usd
aave,__all__,2025-11-14,32848105525
aave,__all__,2025-11-15,32223663406
aave,__all__,2025-11-16,32025505430
aave,__all__,2025-11-17,30388877234
aave,__all__,2025-11-18,30170946456
aave,__all__,2025-11-19,31480539935
aave,__all__,2025-11-20,30864302463
aave,__all__,2025-11-21,30252145193
aave,__all__,2025-11-22,29667909832
aave,__all__,2025-11-23,28265039609
aave,__all__,2025-11-24,29664653962
aave,__all__,2025-11-25,30716739914
aave,__all__,2025-11-26,30990548120
aave,__all__,2025-11-27,31403042366
aave,__all__,2025-11-28,31472338384
aave,__all__,2025-11-29,31548803327
aave,__all__,2025-11-30,30983457274
aave,__all__,2025-12-01,30904171319
aave,__all__,2025-12-02,29672320544
aave,__all__,2025-12-03,30366123848
aave,__all__,2025-12-04,31741310916
aave,__all__,2025-12-05,31412861435
aave,__all__,2025-12-06,31659096612
aave,__all__,2025-12-07,31701089154
aave,__all__,2025-12-08,31824922991
aave,__all__,2025-12-09,31411313833
aave,__all__,2025-12-10,32613851072
aave,__all__,2025-12-11,32166763815
aave,__all__,2025-12-12,31982908130
aave,__all__,2025-12-13,31023967353
aave,__all__,2025-12-14,31302863936
aave,__all__,2025-12-15,31937586429
aave,__all__,2025-12-16,31021385322
aave,__all__,2025-12-17,31590754314
aave,__all__,2025-12-18,30699057565
aave,__all__,2025-12-19,30818344171
aave,__all__,2025-12-20,31733991943
aave,__all__,2025-12-21,31916642033
aave,__all__,2025-12-22,32238040970
aave,__all__,2025-12-23,31910363997
aave,__all__,2025-12-24,31589463991
aave,__all__,2025-12-25,31508806972
aave,__all__,2025-12-26,31203478612
aave,__all__,2025-12-27,31305359510
aave,__all__,2025-12-28,31548485643
aave,__all__,2025-12-29,31615989555
aave,__all__,2025-12-30,30811742299
